"","avg_temp","full_date","year","date","tooltip"
"1",17,"June 01, 1876",1876,"06-01","June 01, 1876 :  17 ° C"
"2",19.1,"June 02, 1876",1876,"06-02","June 02, 1876 :  19.1 ° C"
"3",17.9,"June 03, 1876",1876,"06-03","June 03, 1876 :  17.9 ° C"
"4",18.8,"June 04, 1876",1876,"06-04","June 04, 1876 :  18.8 ° C"
"5",19.1,"June 05, 1876",1876,"06-05","June 05, 1876 :  19.1 ° C"
"6",20.8,"June 06, 1876",1876,"06-06","June 06, 1876 :  20.8 ° C"
"7",16.7,"June 07, 1876",1876,"06-07","June 07, 1876 :  16.7 ° C"
"8",18.7,"June 08, 1876",1876,"06-08","June 08, 1876 :  18.7 ° C"
"9",16.8,"June 09, 1876",1876,"06-09","June 09, 1876 :  16.8 ° C"
"10",18.2,"June 10, 1876",1876,"06-10","June 10, 1876 :  18.2 ° C"
"11",18.7,"June 11, 1876",1876,"06-11","June 11, 1876 :  18.7 ° C"
"12",17.7,"June 12, 1876",1876,"06-12","June 12, 1876 :  17.7 ° C"
"13",16.5,"June 13, 1876",1876,"06-13","June 13, 1876 :  16.5 ° C"
"14",18.3,"June 14, 1876",1876,"06-14","June 14, 1876 :  18.3 ° C"
"15",19.7,"June 15, 1876",1876,"06-15","June 15, 1876 :  19.7 ° C"
"16",18.2,"June 16, 1876",1876,"06-16","June 16, 1876 :  18.2 ° C"
"17",19.7,"June 17, 1876",1876,"06-17","June 17, 1876 :  19.7 ° C"
"18",21.3,"June 18, 1876",1876,"06-18","June 18, 1876 :  21.3 ° C"
"19",19,"June 19, 1876",1876,"06-19","June 19, 1876 :  19 ° C"
"20",20.6,"June 20, 1876",1876,"06-20","June 20, 1876 :  20.6 ° C"
"21",20.9,"June 21, 1876",1876,"06-21","June 21, 1876 :  20.9 ° C"
"22",18.4,"June 22, 1876",1876,"06-22","June 22, 1876 :  18.4 ° C"
"23",18.3,"June 23, 1876",1876,"06-23","June 23, 1876 :  18.3 ° C"
"24",19,"June 24, 1876",1876,"06-24","June 24, 1876 :  19 ° C"
"25",18.4,"June 25, 1876",1876,"06-25","June 25, 1876 :  18.4 ° C"
"26",14.4,"June 26, 1876",1876,"06-26","June 26, 1876 :  14.4 ° C"
"27",16.4,"June 27, 1876",1876,"06-27","June 27, 1876 :  16.4 ° C"
"28",19.1,"June 28, 1876",1876,"06-28","June 28, 1876 :  19.1 ° C"
"29",20.2,"June 29, 1876",1876,"06-29","June 29, 1876 :  20.2 ° C"
"30",15.8,"June 30, 1876",1876,"06-30","June 30, 1876 :  15.8 ° C"
"31",19.9,"July 01, 1876",1876,"07-01","July 01, 1876 :  19.9 ° C"
"32",19.8,"July 02, 1876",1876,"07-02","July 02, 1876 :  19.8 ° C"
"33",18.6,"July 03, 1876",1876,"07-03","July 03, 1876 :  18.6 ° C"
"34",17.6,"July 04, 1876",1876,"07-04","July 04, 1876 :  17.6 ° C"
"35",20.3,"July 05, 1876",1876,"07-05","July 05, 1876 :  20.3 ° C"
"36",24.5,"July 06, 1876",1876,"07-06","July 06, 1876 :  24.5 ° C"
"37",22.8,"July 07, 1876",1876,"07-07","July 07, 1876 :  22.8 ° C"
"38",22.6,"July 08, 1876",1876,"07-08","July 08, 1876 :  22.6 ° C"
"39",22.9,"July 09, 1876",1876,"07-09","July 09, 1876 :  22.9 ° C"
"40",24,"July 10, 1876",1876,"07-10","July 10, 1876 :  24 ° C"
"41",24.9,"July 11, 1876",1876,"07-11","July 11, 1876 :  24.9 ° C"
"42",25.4,"July 12, 1876",1876,"07-12","July 12, 1876 :  25.4 ° C"
"43",25.3,"July 13, 1876",1876,"07-13","July 13, 1876 :  25.3 ° C"
"44",25.6,"July 14, 1876",1876,"07-14","July 14, 1876 :  25.6 ° C"
"45",25.9,"July 15, 1876",1876,"07-15","July 15, 1876 :  25.9 ° C"
"46",25.8,"July 16, 1876",1876,"07-16","July 16, 1876 :  25.8 ° C"
"47",24.2,"July 17, 1876",1876,"07-17","July 17, 1876 :  24.2 ° C"
"48",25.5,"July 18, 1876",1876,"07-18","July 18, 1876 :  25.5 ° C"
"49",25.7,"July 19, 1876",1876,"07-19","July 19, 1876 :  25.7 ° C"
"50",26.2,"July 20, 1876",1876,"07-20","July 20, 1876 :  26.2 ° C"
"51",25.4,"July 21, 1876",1876,"07-21","July 21, 1876 :  25.4 ° C"
"52",25.1,"July 22, 1876",1876,"07-22","July 22, 1876 :  25.1 ° C"
"53",26.1,"July 23, 1876",1876,"07-23","July 23, 1876 :  26.1 ° C"
"54",26.3,"July 24, 1876",1876,"07-24","July 24, 1876 :  26.3 ° C"
"55",26,"July 25, 1876",1876,"07-25","July 25, 1876 :  26 ° C"
"56",26.1,"July 26, 1876",1876,"07-26","July 26, 1876 :  26.1 ° C"
"57",25.6,"July 27, 1876",1876,"07-27","July 27, 1876 :  25.6 ° C"
"58",26.3,"July 28, 1876",1876,"07-28","July 28, 1876 :  26.3 ° C"
"59",25.9,"July 29, 1876",1876,"07-29","July 29, 1876 :  25.9 ° C"
"60",25.9,"July 30, 1876",1876,"07-30","July 30, 1876 :  25.9 ° C"
"61",26.2,"July 31, 1876",1876,"07-31","July 31, 1876 :  26.2 ° C"
"62",26.5,"August 01, 1876",1876,"08-01","August 01, 1876 :  26.5 ° C"
"63",26.3,"August 02, 1876",1876,"08-02","August 02, 1876 :  26.3 ° C"
"64",27.4,"August 03, 1876",1876,"08-03","August 03, 1876 :  27.4 ° C"
"65",27.7,"August 04, 1876",1876,"08-04","August 04, 1876 :  27.7 ° C"
"66",27.1,"August 05, 1876",1876,"08-05","August 05, 1876 :  27.1 ° C"
"67",26.7,"August 06, 1876",1876,"08-06","August 06, 1876 :  26.7 ° C"
"68",28.2,"August 07, 1876",1876,"08-07","August 07, 1876 :  28.2 ° C"
"69",28.9,"August 08, 1876",1876,"08-08","August 08, 1876 :  28.9 ° C"
"70",28.8,"August 09, 1876",1876,"08-09","August 09, 1876 :  28.8 ° C"
"71",27.3,"August 10, 1876",1876,"08-10","August 10, 1876 :  27.3 ° C"
"72",26.9,"August 11, 1876",1876,"08-11","August 11, 1876 :  26.9 ° C"
"73",26.7,"August 12, 1876",1876,"08-12","August 12, 1876 :  26.7 ° C"
"74",26.3,"August 13, 1876",1876,"08-13","August 13, 1876 :  26.3 ° C"
"75",26.3,"August 14, 1876",1876,"08-14","August 14, 1876 :  26.3 ° C"
"76",26.9,"August 15, 1876",1876,"08-15","August 15, 1876 :  26.9 ° C"
"77",27.2,"August 16, 1876",1876,"08-16","August 16, 1876 :  27.2 ° C"
"78",27.9,"August 17, 1876",1876,"08-17","August 17, 1876 :  27.9 ° C"
